21,5333,5,wcCaseNoTB,Case Number,TextBox,1,CaseNo,Case Number,1,Case Number is required,1,NULL,NULL,NULL,NULL,CaseNum,NULL,NULL,NULL
22,5333,5,wcTitleNameTB,Title/Name,TextBox,2,TitleName,Title/Name,1,Title is required,0,NULL,NULL,NULL,NULL,TitleName,NULL,NULL,NULL
23,5333,5,wcIncidentTypeCombo,Incident Type,RadComboBox,3,IncidentType,Incident Type,1,Incident Type is required,1,NULL,NULL,NULL,NULL,IncidentType,NULL,NULL,NULL
24,5333,5,wcDateofIncidentPkr,Date/Time of Incident,RadDateTimePicker,4,DateofIncident,Date/Time of Incident,1,Date of Incident is required,1,NULL,NULL,NULL,NULL,IncidentDate,NULL,NULL,NULL
25,5333,5,wcIncLocationIDCmb,Incident Location,RadComboBox,5,IncLocationID,Incident Location,1,Incident Location is required,0,NULL,NULL,NULL,NULL,Location,NULL,NULL,NULL
26,5333,5,wcLocationTB,Location Address,RadComboBox,6,IncLocation,Location Address,1,Location Address is required,0,NULL,NULL,NULL,NULL,LocationAddress,NULL,NULL,NULL
27,5333,5,wcSpecificLocTB,Specific Location Details,TextBox,7,SpecificLoc,Specific Location Details,1,Specific Location Details is required,0,NULL,NULL,NULL,NULL,SpecificLocation,NULL,NULL,NULL
28,5333,5,wcMgtSysCmb,Management System,RadComboBox,14,MgtSys,Management System,1,Management System is required,0,NULL,NULL,NULL,NULL,ManagementSystem,NULL,NULL,NULL
29,5333,5,wcMgtReptCmb,Management Representative,RadComboBox,15,MgtRept,Management Representative,1,Management Representative is required,0,NULL,NULL,NULL,NULL,ManagementRepresentative,NULL,NULL,NULL
30,5333,5,wcEventDescTB,Description of Events,TextBox,16,EventDesc,Description of Events,1,Description of Events is required,0,NULL,NULL,NULL,NULL,EventsDesc,NULL,NULL,NULL
31,5333,5,wcInjuryDetTB,Injury Details,TextBox,17,InjuryDet,Injury Details,1,Injury Details is required,0,NULL,NULL,NULL,NULL,InjuryDetails,NULL,NULL,NULL
32,5333,5,wcOutsideAgncTB,"Outside agencies contacted/assitance required (e.g. Fire brigade, EPA, Workcover)",TextBox,18,OutsideAgnc,"Outside agencies contacted/assitance required (e.g. Fire brigade, EPA, Workcover)",1,Outside agency is required,0,NULL,NULL,NULL,NULL,OutsideAgencies,NULL,NULL,NULL
33,5333,5,wcImTrmtRdoList,Immediate Treatment Obtained,RadioButtonList,19,ImTrmt,Immediate Treatment Obtained,1,Immediate Treatment Obtained is required,0,NULL,NULL,NULL,NULL,ImmediateTreatmentObtained,NULL,NULL,NULL
34,5333,5,wcStatusCombo,Status,RadComboBox,21,Status,Status,1,Status is required,0,NULL,NULL,NULL,NULL,Status,NULL,NULL,NULL
35,5333,5,wcReqRTWChk,Requires Return to Work Plan?,CheckBox,22,ReqRTW,Requires Return to Work Plan?,1,Answer is required,0,NULL,NULL,NULL,NULL,ReqReturnToWorkPlan,NULL,NULL,NULL
36,5333,5,wcReqIMPChk,Requires Injury Management Plan?,CheckBox,23,ReqIMP,Requires Injury Management Plan?,1,Answer is required,0,NULL,NULL,NULL,NULL,ReqInjuryMngmtPlan,NULL,NULL,NULL
37,5333,5,wcReqWCFChk,Require Workers Compensation Forms?,CheckBox,24,ReqWCF,Require Workers Compensation Forms?,1,Answer is required,0,NULL,NULL,NULL,NULL,ReqWorkerCompensationForm,NULL,NULL,NULL
38,5333,5,wcConfiDtnChk,Confidential ?,CheckBox,25,ConfiDtn,Confidential ?,1,Answer is required,0,NULL,NULL,NULL,NULL,IsConfidential,NULL,NULL,NULL
39,5333,5,wcEstCostTB,Estimated Cost ($),RadNumericTextBox,26,EstCost,Estimated Cost ($),1,Estimated Cost is required,0,NULL,NULL,NULL,NULL,EstimatedCost,NULL,NULL,NULL
40,5333,5,wcActCostTB,Actual Cost ($),RadNumericTextBox,27,ActCost,Actual Cost ($),1,Actual Cost is required,0,NULL,NULL,NULL,NULL,ActualCost,NULL,NULL,NULL
41,5333,5,wcConsqRatingHdrLabel,CONSEQUENCE RATING,Label,28,ConsqRatingHdr,CONSEQUENCE RATING,1,NULL,0,1,NULL,NULL,NULL,CONSEQUENCE RATING,NULL,NULL,NULL
42,5333,5,wcConsRankCmb,Consequence Ranking,RadComboBox,31,ConsRank,Consequence Ranking,1,Consequence Ranking is required,0,NULL,NULL,NULL,NULL,ConsequenceRanking,NULL,NULL,NULL
43,5333,5,wcConsPotOutCmb,Potential Outcome,RadComboBox,32,ConsPotOut,Potential Outcome,1,Potential Outcome is required,0,NULL,NULL,NULL,NULL,PotentialOutcome,NULL,NULL,NULL
44,5333,5,wcNotSevereCmb,Initial Notification Severity,RadComboBox,33,NotSevere,Initial Notification Severity,1,Initial Notification Severity is required,0,NULL,NULL,NULL,NULL,InitialNotificationSeverity,NULL,NULL,NULL
45,5333,5,wcFirstRptHdrLabel,First Report,Label,35,FirstRptHdr,First Report,1,NULL,0,1,NULL,NULL,NULL,First Report,NULL,NULL,NULL
46,5333,5,wcReportedByCombo,First Reported By,RadComboBox,36,ReportedBy,First Reported By,1,First Reported By is required,0,NULL,NULL,NULL,NULL,ReportedBy,NULL,NULL,NULL
47,5333,5,wcReportDatePkr,First Reported Date,RadDateTimePicker,37,ReportDate,First Reported Date,1,First Reported Date is required,0,NULL,NULL,NULL,NULL,ReportedDate,NULL,NULL,NULL
48,5333,5,wcReporterContactTB,First Reported Contact Phone,TextBox,38,ReporterContact,First Reported Contact Phone,1,First Reported Contact Phone is required,0,NULL,NULL,NULL,NULL,ReporterPhone,NULL,NULL,NULL
49,5333,5,wcFirstRepToCombo,First Reported To,RadComboBox,40,FirstRepTo,First Reported To,1,First Reported To is required,0,NULL,NULL,NULL,NULL,ReportedTo,NULL,NULL,NULL
50,5333,5,wcSelfReportHdrLabel,Self Report,Label,43,SelfReportHdr,Self Report,1,NULL,0,1,NULL,NULL,NULL,Self Report,NULL,NULL,NULL
